City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Ahipara,NZ,-35.1667,173.1667,60.04,88,98,6.2,overcast clouds
232,Sinnamary,GF,5.3833,-52.95,82.81,69,54,13.29,broken clouds
233,Port Elizabeth,ZA,-33.918,25.5701,64.31,85,20,10.36,few clouds
234,Yulara,AU,-25.2406,130.9889,60.64,63,75,9.22,broken clouds
235,St. George'S,GD,12.0564,-61.7485,83.88,70,20,26.46,few clouds
236,Ilulissat,GL,69.2167,-51.1,21.4,61,10,4.36,clear sky
237,Sukhobezvodnoye,RU,57.0491,44.8891,38.35,69,89,5.08,overcast clouds
238,Bulgan,MN,48.8125,103.5347,54.27,26,57,3.58,broken clouds
239,Koygorodok,RU,60.445,50.9968,26.4,93,62,3.71,broken clouds
240,Shāhpur,IN,16.7,76.8333,99.09,15,87,6.55,overcast clouds
241,Mossamedes,AO,-15.1961,12.1522,74.14,76,9,15.55,clear sky
242,Piombino,IT,42.9348,10.5221,65.66,57,80,3.0,broken clouds
243,Olinda,BR,-8.0089,-34.8553,82.13,83,75,6.91,broken clouds
244,Clarksburg,US,39.2807,-80.3445,69.93,71,100,7.92,overcast clouds
245,Stutterheim,ZA,-32.5708,27.424,49.75,89,4,1.52,clear sky
246,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,76,0,17.27,clear sky
247,Alofi,NU,-19.0595,-169.9187,76.89,94,99,4.61,overcast clouds
248,Baykit,RU,61.67,96.37,20.75,93,5,2.71,clear sky
249,Kavaratti,IN,10.5669,72.642,85.01,71,24,10.11,few clouds
250,Luangwa,ZM,-15.6167,30.4167,71.76,53,0,2.64,clear sky
251,Upanema,BR,-5.6419,-37.2578,95.22,35,23,6.87,few clouds
252,Ginda,IN,30.6945,78.4932,59.95,63,99,7.16,overcast clouds
253,Makakilo City,US,21.3469,-158.0858,71.92,78,75,8.05,light rain
254,Baoning,CN,25.3378,110.026,55.26,94,65,0.0,broken clouds
255,Narsaq,GL,60.9167,-46.05,43.61,72,58,4.0,broken clouds
256,North Bend,US,43.4065,-124.2243,56.25,91,45,3.02,scattered clouds
257,Nur,PL,52.6683,22.3221,54.77,68,81,7.25,broken clouds
258,Luganville,VU,-15.5333,167.1667,78.03,83,100,3.18,overcast clouds
259,Kudahuvadhoo,MV,2.6708,72.8944,86.11,74,78,17.94,broken clouds
260,Araguaçu,BR,-12.9306,-49.8264,89.37,39,37,5.57,scattered clouds
261,Zyryanka,RU,65.75,150.85,24.6,93,87,6.71,overcast clouds
262,Chui,UY,-33.6971,-53.4616,65.3,47,4,10.36,clear sky
263,Vanimo,PG,-2.6741,141.3028,78.08,87,80,6.44,light rain
264,Tambilil,PH,5.9622,124.6697,79.45,86,100,1.1,overcast clouds
265,Sucúa,EC,-2.4667,-78.1667,75.94,68,40,6.91,scattered clouds
266,San Quintín,MX,30.4833,-115.95,64.33,70,29,8.23,scattered clouds
267,Solnechnyy,RU,50.7214,136.6319,28.13,96,61,4.18,broken clouds
268,Port Shepstone,ZA,-30.7414,30.455,66.99,68,1,8.81,clear sky
269,Kalmar,SE,56.6616,16.3616,53.53,37,0,5.75,clear sky
270,Taoudenni,ML,22.6783,-3.9836,91.81,12,0,13.78,clear sky
271,Tual,ID,-5.6667,132.75,82.63,76,80,9.01,light rain
272,Sur,OM,22.5667,59.5289,85.84,54,0,6.6,clear sky
273,Distrikt Brokopondo,SR,4.75,-55.1667,85.14,60,100,6.96,overcast clouds
274,Faya,SA,18.3851,42.4509,69.91,57,22,6.02,few clouds
275,Sibu,MY,2.3,111.8167,79.11,88,40,1.14,scattered clouds
276,Iskateley,RU,67.6803,53.1512,18.82,92,99,8.97,overcast clouds
277,Brandon,US,27.9378,-82.2859,87.1,70,75,3.44,haze
278,Pandan,PH,14.0453,124.1694,77.56,85,96,5.48,overcast clouds
279,Mahibadhoo,MV,3.7833,72.9667,86.11,73,47,18.57,scattered clouds
280,Chernyshevskiy,RU,63.0128,112.4714,8.04,95,19,3.98,few clouds
281,Chokurdakh,RU,70.6333,147.9167,15.3,96,38,7.81,scattered clouds
282,Westport,US,41.1415,-73.3579,71.44,40,26,3.0,scattered clouds
283,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,10.36,overcast clouds
284,Ürümqi,CN,43.801,87.6005,72.55,12,0,31.32,clear sky
285,Nelson Bay,AU,-32.7167,152.15,57.99,96,9,3.62,clear sky
286,Umm Hājar,TD,13.2954,19.6966,102.38,16,53,1.14,broken clouds
287,Payson,US,40.0444,-111.7321,58.46,54,100,5.99,overcast clouds
288,Mehamn,NO,71.0357,27.8492,25.88,74,87,5.88,overcast clouds
289,City Of San Pedro,PH,14.35,121.0167,83.43,73,75,5.75,broken clouds
290,Ati,TD,13.2154,18.3353,101.16,16,57,7.87,broken clouds
291,Coyhaique,CL,-45.5752,-72.0662,51.75,82,75,3.44,broken clouds
292,Ibrā’,OM,22.6906,58.5334,83.73,28,0,9.95,clear sky
293,San Cristobal,VE,7.7669,-72.225,84.38,51,98,8.41,overcast clouds
